id,personal email,name,first option day,second option day,first option night,second option night,notes
135,staff35@camp.org,Staff Member 35,01/07/2025,02/07/2025,04/07/2025,03/07/2025,
136,staff36@camp.org,Staff Member 36,01/07/2025,05/07/2025,05/07/2025,04/07/2025,Avoid Wednesdays
137,staff37@camp.org,Staff Member 37,01/07/2025,03/07/2025,04/07/2025,01/07/2025,Prefers early week
138,staff38@camp.org,Staff Member 38,04/07/2025,03/07/2025,02/07/2025,02/07/2025,
139,staff39@camp.org,Staff Member 39,04/07/2025,04/07/2025,05/07/2025,05/07/2025,
140,staff40@camp.org,Staff Member 40,04/07/2025,01/07/2025,05/07/2025,03/07/2025,
141,staff41@camp.org,Staff Member 41,02/07/2025,04/07/2025,03/07/2025,02/07/2025,
142,staff42@camp.org,Staff Member 42,04/07/2025,02/07/2025,05/07/2025,05/07/2025,Prefers early week
143,staff43@camp.org,Staff Member 43,05/07/2025,05/07/2025,05/07/2025,03/07/2025,Prefers early week
144,staff44@camp.org,Staff Member 44,05/07/2025,04/07/2025,05/07/2025,05/07/2025,Avoid Wednesdays
145,staff45@camp.org,Staff Member 45,01/07/2025,04/07/2025,04/07/2025,01/07/2025,
146,staff46@camp.org,Staff Member 46,04/07/2025,01/07/2025,03/07/2025,01/07/2025,Prefers early week
147,staff47@camp.org,Staff Member 47,05/07/2025,04/07/2025,04/07/2025,02/07/2025,Prefers early week
148,staff48@camp.org,Staff Member 48,02/07/2025,05/07/2025,02/07/2025,03/07/2025,Prefers early week
149,staff49@camp.org,Staff Member 49,02/07/2025,02/07/2025,02/07/2025,05/07/2025,
150,staff50@camp.org,Staff Member 50,01/07/2025,04/07/2025,02/07/2025,01/07/2025,Avoid Wednesdays
151,staff51@camp.org,Staff Member 51,02/07/2025,04/07/2025,04/07/2025,03/07/2025,
152,staff52@camp.org,Staff Member 52,05/07/2025,01/07/2025,01/07/2025,04/07/2025,Avoid Wednesdays
153,staff53@camp.org,Staff Member 53,04/07/2025,01/07/2025,05/07/2025,04/07/2025,Avoid Wednesdays
154,staff54@camp.org,Staff Member 54,01/07/2025,01/07/2025,04/07/2025,05/07/2025,Avoid Wednesdays
155,staff55@camp.org,Staff Member 55,05/07/2025,02/07/2025,02/07/2025,05/07/2025,Prefers early week
156,staff56@camp.org,Staff Member 56,03/07/2025,05/07/2025,01/07/2025,02/07/2025,Prefers early week
157,staff57@camp.org,Staff Member 57,05/07/2025,01/07/2025,03/07/2025,05/07/2025,Avoid Wednesdays
158,staff58@camp.org,Staff Member 58,02/07/2025,01/07/2025,01/07/2025,01/07/2025,Prefers early week
159,staff59@camp.org,Staff Member 59,05/07/2025,04/07/2025,02/07/2025,03/07/2025,
