email,name,first option day,second option day,first option night,second option night,notes
staff26@camp.org,Staff Member 26,07/07/2025,08/07/2025,10/07/2025,07/07/2025,Avoid Wednesdays
staff27@camp.org,Staff Member 27,13/07/2025,12/07/2025,10/07/2025,12/07/2025,
staff28@camp.org,Staff Member 28,10/07/2025,11/07/2025,10/07/2025,07/07/2025,Avoid Wednesdays
staff29@camp.org,Staff Member 29,08/07/2025,07/07/2025,08/07/2025,07/07/2025,Prefers early week
staff30@camp.org,Staff Member 30,12/07/2025,07/07/2025,13/07/2025,10/07/2025,
staff31@camp.org,Staff Member 31,10/07/2025,07/07/2025,12/07/2025,10/07/2025,
staff32@camp.org,Staff Member 32,10/07/2025,11/07/2025,12/07/2025,13/07/2025,
staff33@camp.org,Staff Member 33,12/07/2025,13/07/2025,07/07/2025,13/07/2025,
staff34@camp.org,Staff Member 34,13/07/2025,09/07/2025,08/07/2025,12/07/2025,Avoid Wednesdays
staff35@camp.org,Staff Member 35,08/07/2025,09/07/2025,08/07/2025,09/07/2025,Prefers early week
staff36@camp.org,Staff Member 36,09/07/2025,08/07/2025,11/07/2025,08/07/2025,
staff37@camp.org,Staff Member 37,13/07/2025,12/07/2025,09/07/2025,07/07/2025,Avoid Wednesdays
staff38@camp.org,Staff Member 38,11/07/2025,10/07/2025,08/07/2025,09/07/2025,
staff39@camp.org,Staff Member 39,11/07/2025,10/07/2025,13/07/2025,09/07/2025,
staff40@camp.org,Staff Member 40,11/07/2025,08/07/2025,08/07/2025,12/07/2025,
staff41@camp.org,Staff Member 41,07/07/2025,09/07/2025,09/07/2025,07/07/2025,Prefers early week
staff42@camp.org,Staff Member 42,07/07/2025,11/07/2025,12/07/2025,08/07/2025,
staff43@camp.org,Staff Member 43,07/07/2025,11/07/2025,10/07/2025,13/07/2025,
staff44@camp.org,Staff Member 44,08/07/2025,10/07/2025,07/07/2025,08/07/2025,
staff45@camp.org,Staff Member 45,07/07/2025,09/07/2025,08/07/2025,09/07/2025,Prefers early week
staff46@camp.org,Staff Member 46,08/07/2025,07/07/2025,08/07/2025,07/07/2025,Prefers early week
staff47@camp.org,Staff Member 47,11/07/2025,08/07/2025,13/07/2025,10/07/2025,
staff48@camp.org,Staff Member 48,07/07/2025,09/07/2025,09/07/2025,07/07/2025,Prefers early week
staff49@camp.org,Staff Member 49,11/07/2025,13/07/2025,08/07/2025,07/07/2025,
staff50@camp.org,Staff Member 50,07/07/2025,08/07/2025,08/07/2025,09/07/2025,
staff51@camp.org,Staff Member 51,12/07/2025,10/07/2025,10/07/2025,13/07/2025,
staff52@camp.org,Staff Member 52,07/07/2025,08/07/2025,08/07/2025,07/07/2025,Prefers early week
staff53@camp.org,Staff Member 53,07/07/2025,08/07/2025,07/07/2025,11/07/2025,
staff54@camp.org,Staff Member 54,08/07/2025,09/07/2025,07/07/2025,08/07/2025,Prefers early week
staff55@camp.org,Staff Member 55,08/07/2025,09/07/2025,08/07/2025,07/07/2025,Prefers early week
staff56@camp.org,Staff Member 56,10/07/2025,09/07/2025,09/07/2025,10/07/2025,Avoid Wednesdays
staff57@camp.org,Staff Member 57,10/07/2025,12/07/2025,10/07/2025,12/07/2025,
staff58@camp.org,Staff Member 58,09/07/2025,08/07/2025,08/07/2025,09/07/2025,Prefers early week
staff59@camp.org,Staff Member 59,13/07/2025,10/07/2025,13/07/2025,09/07/2025,
